Jeux,Description,Sortie,Test,Avis
Mario Kart : Super Circuit,"Après sa sortie sur Gameboy Advance, Mario revient à fond les manettes dans le jeu de courses Mario Kart : Super Circuit à présent disponible sur l'eShop de la Wii U. Vingt nouveaux circuits, des bonus classiques et des heures de courses sont au programme de ce soft. Le mode Grand Prix, le mode Bataille ainsi que la possibilité d'affronter vos amis sont également présents.",14 septembre 2001,18/20,17.4/20
Need for Speed : Conduite en Etat de Liberté,"Need for Speed : Conduite en Etat de Liberté est un jeu de courses sorti sur PC. Disputez des courses phénoménales à bord de 18 voitures dont la BMW Z3, Ferrari 550, Mercedes CLK ou encore la Jaguar XKR.",24 mars 1999,18/20,18/20
Football Manager 2010 sur PC,"Football Manager 2010 est un jeu de gestion d'équipe de football. Avec une interface optimisée, le jeu offre de nouvelles options tactiques et un éditeur permettant de gérer les ligues. Un outil d'analyse des matchs est également disponible.",30 octobre 2009,18/20,17.5/20
Galax sur PC,"Dans le shoot'em up Galax sur PC, le super-ordinateur conçu par l'humanité se révolte et prend rapidement le contrôle de la plupart des armes et infrastructures. Il ne reste aux hommes qu'un vaisseau spécial, disposant d'un système de hacking, pour espérer s'infiltrer parmi l'armada du super-ordinateur. Maîtrisez les commandes pour figer vos ennemis en plein vol, les pousser à s'autodétruire, et même les faire passer dans votre camp.",2003,18/20,19.5/20
The King of Fighters '98 : Ultimate Match,"The King of Fighters '98 Ultimate Match est un jeu de baston 2D amélioré et réédité en 2009 dans le cadre des nouvelles compilations KOF lancées par SNK Playmore. Le titre est disponible en téléchargement sur le Xbox Live de la Xbox 360. Au menu : nouveaux personnages, nouveaux décors et jouabilité refaite à neuf. Un lifting graphique a été apporté à chaque perso.",26 juin 2009,18/20,17.2/20
Le Manoir de Mortevielle,Le Manoir de Mortevielle marque la première enquête du détective Jérôme Lange (la seconde est Maupiti Island). Ce jeu d'aventure sur PC vous met au défi de percer le mystère qui entoure le meurtre perpétré dans un immense manoir.,1988,18/20,18/20
Top Spin 4,"Jeu de tennis, Top Spin 4 vous propose d'incarner les plus grands athlètes de la discipline et de remporter les tournois grâce à une multitude de coups techniques dans un jeu basé sur le réalisme et la simulation.",18 mars 2011,18/20,17.4/20
Advance Wars : Dual Strike sur DS,"Advance Wars : Dual Strike sur DS est un jeu tactique au tour par tour dans lequel chaque écran de la console est mis à contribution. En haut, dirigez vos troupes aériennes et en bas occupez-vous de tout ce qui est terrestre. Affrontez vos ennemis dans les tout nouveaux modes de jeu Survie et Combat. A vous de mener vos troupes à la victoire en vous opposant aux nouveaux officiers de commandements dotés de super pouvoirs, ou à vos amis grâce à la connexion sans fil.",30 septembre 2005,18/20,19.2/20
Dark Project : La Guilde des Voleurs sur PC,"Dark Project : la Guilde des Voleurs est un jeu action/infiltration à la première personne. Vous êtes Garrett, le maître des voleurs, et devez vous frayer un chemin dans les ruelles sombres et les bas-fonds d'une ville d'une époque révolue où se côtoient la magie d'antan et la technologie du XIXème siècle. Subtilité et intelligence seront vos meilleurs atouts pour dérober l'Oeil, un joyau magnifique.",1998,18/20,17.2/20
Final Fantasy VIII,"Huitième épisode de la série éponyme Final Fantasy VIII est un jeu de rôle japonais. Le joueur y incarne le jeune Squall, membre d'un groupe militaire d'élite, qui se retrouve mêlé à un conflit dépassant l'imagination. Il doit alors se confronter à un puissant sorcier. Les personnages de cet épisode peuvent être personnalisés avec des sorts puissants récupérés sur les ennemis. En outre, presque une heure de cinématiques en images de synthèse a été implantée.",27 octobre 1999,18/20,18/20
Starcraft II : Wings of Liberty,"Jeu de stratégie en temps réel (STR), StarCraft II prend place dans un univers futuriste, au XXVIe siècle pour être exact, dans lequel s'affrontent Terrans, Zergs et Protoss, trois espèces qui luttent pour des convictions et des objectifs propres. Le jeu est divisé en trois volets qui se suivent chronologiquement mais qui se concentrent à chaque fois sur une race bien précise : Terran puis Zerg et enfin Protoss. Malgré un background extrêmement riche, StarCraft II reste avant tout un jeu multijoueur qui connaît une scène eSport très active.",27 juillet 2010,18/20,18.1/20
Borderlands 2,"Entre jeu de tir à la première personne (FPS) et de jeu de rôle en cel shading, Borderlands 2 donne la possibilité au joueur d'explorer les contrées inconnues des mondes de Pandora. Prenant place 5 ans après la conclusion du premier opus et avec l'aide de quatre nouvelles classes inédites, vous devrez cette fois-ci empêcher le Beau Jack de s'emparer d'une clef légendaire...",21 septembre 2012,18/20,17.7/20
Music sur PS1,"Music est un soft sur Playstation qui permet de créer vos propres musiques. Le principe de base pour concevoir votre musique est simple. Sur le CD du jeu, vous disposez de plus de 3.000 samples d'instruments et de 750 ""riffs"" à votre disposition. Pour fabriquer votre musique, vous disposez de 16 pistes.",Décembre 1998,18/20,17.3/20
Assassin's Creed : Brotherhood,"Jeu d'action-aventure en monde ouvert, Assassin's Creed : Brotherhood vous permet d'incarner le Maitre Assassin Ezio à Rome, dans sa lutte contre l'Ordre des Templiers. Dans ce troisième opus de la série, l'esprit du jeu est conservé, et le multijoueur prend désormais une place importante notamment à travers plusieurs modes proposés. Chaque personnage pouvant être incarné possède armes et attaques spécifiques à son style de gameplay.",18 novembre 2010,18/20,
StarLancer,"Dans StarLancer sur PC, vous incarnez un pilote ayant choisi de se porter volontaire pour repousser l'attaque menée par l'Alliance de l'Est à l'encontre de la Coalition de l'Ouest. Vos missions sont diverses et variées allant de l'interception à l'escorte de convois, en passant par l'assaut de stations spatiales.",Mai 2000,18/20,
Wing Commander IV : The Price of Freedom,"Wing Commander IV : The Price of Freedom est un jeu de tir spatial sur PC. Grâce à l'arbre des missions, vous pouvez, dans une certaine mesure, décider de la prochaine mission que vous voulez effectuer. Avant chaque mission, vous pouvez configurer votre vaisseau et ses armes. Comme toujours les cinématiques vidéo sont présentes.",Juillet 1997,18/20,18.7/20
The Legend of Zelda : Link's Awakening DX,"The Legend Of Zelda : Link's Awakening DX est un jeu d'action et d'aventure sur 3DS. Il s'agit d'un remake du titre sorti sur Game Boy Color. Vous incarnez le jeune Link qui revient dans son pays natal d'Hyrule. Alors qu'il est sur le bateau qui le ramène au pays, une tempête se déchaîne, le bateau est abîmé et s'échoue sur une île mystérieuse nommée Cocolint. Vous apprenez alors que pour sortir de cet enfer, il vous faudra réveiller le mystique Poisson Rêve.",Janvier 1999,18/20,17.2/20
Theatrhythm Final Fantasy,"Theatrhythm Final Fantasy est un jeu de rythme sur 3DS. Formez une équipe de quatre héros tirés de la saga Final Fantasy et tentez de surmonter plus de 70 défis musicaux. Les morceaux sont tirés des épisodes 1 à 13 et de nombreux autres sont proposés en téléchargement. Trois types d'épreuves se succèdent : field (atlas), battle (combat) et event (cinématiques).",6 juillet 2012,18/20,18.3/20
Batman Arkham Asylum,"Jeu d'action très sombre, Batman : Arkham Asylum met en scène le justicier issu de DC Comics. Dans cet opus le joueur devra faire face au fameux Joker et d'autres méchants, dans les couloirs sombres de l'asile d'Arkham. En s'aidant de son équipement évolué, il devra mettre un terme à leurs agissements.",28 août 2009,18/20,18.3/20
NBA 2K11,"NBA 2K11 est un jeu de basket sur PC. Le joueur pourra incarner son équipe préférée dans des matchs très réalistes. Michael Jordan se joindra à la partie pour atteindre les plus hauts sommets de la NBA. De plus, des artistes tels que Snoop Dogg, Two Door Cinema Club ou Kid Cudi font partis de la Bande-Son.",8 octobre 2010,18/20,18.2/20
Fire Emblem : Awakening sur 3DS,"Fire Emblem : Awakening est un RPG tactique. Le jeu offre une campagne en 25 chapitres ainsi que de nombreuses batailles optionnelles. Le challenge est adaptable pour tous puisqu'il est possible de choisir un grand niveau de difficulté ou au contraire un plus simple, où les unités perdues en combat ne le sont pas de façon définitive. Les relations de soutien entre les personnages sont plus développées et il est possible de créer une nouvelle génération de héros.",19 avril 2013,18/20,18.2/20
Shinobi III : Return of the Ninja Master,"Shinobi III : Return of the Ninja Master sur Console Virtuelle est un jeu d'action dans lequel vous incarnez Joe Musashi, un samouraï dont la mission est d'éliminer une organisation criminelle : Neo Zeed. Utilisez l'art ancestral oublié Oboro dont vous êtes le dernier héritier ainsi que votre panoplie de ninja pour défaire le mystérieux Shadow Master.",1993,18/20,18/20
Earthworm Jim Special Edition sur Mega-CD,"Earthworm Jim Special Edition est un jeu de plates-formes narrant les aventures d'un ver de terre dans un univers où humour et second degré sont les maîtres mots. Cette édition spéciale sur Mega CD est une reprise du premier opus avec des niveaux plus vastes, de nouvelles armes et des ennemis inédits.",1995,18/20,18.5/20
Spirits,Spirits sur PC est un jeu de réflexion / puzzle-game. Vous devez emmener un certain nombre d'esprits d'un point A à un tourbillon dans chaque partie. Mais le chemin est semé d’embûches et c'est à vous d'attribuer à chaque entité une tâche pour mener le groupe à bon port et remplir votre quota de créatures à sauver.,16 août 2012,18/20,19/20
The Next Penelope,"The Next Penelope sur PC est un jeu de course s'inspirant très librement de la mythologie grecque. Ici, Pénélope n'attend pas sagement Ulysse à la maison. A la place, elle part à la recherche de son mari et participe à des courses à travers la galaxie.",29 mai 2015,18/20,18.2/20
Street Fighter II,"Street Fighter II est le deuxième épisode du jeu de combat sorti en 1988 sur diverses consoles et bornes d'arcade. Vous avez le choix parmi huit personnages ayant chacun son propre style de jeu et ses propres techniques spéciales. Dans le mode solo, vous devez affronter les sept autres personnages plus quatre boss cachés. A deux, chacun choisit son personnage pour tenter d'éliminer l'autre.",Septembre 1992,18/20,18/20
The Legend of Zelda : Link's Awakening sur GB,"The Legend of Zelda : Link's Awakening est un jeu d'action et d'aventure sur Gameboy. Vous incarnez le jeune Link, qui revient dans son pays natal d'Hyrule. Après d'extraordinaires aventures, notre héros rêve d'un repos mérité. Alors qu'il est sur le bateau qui le ramène au pays, une tempête se déchaîne, le bateau est abîmé et s'échoue sur une île mystérieuse nommée Cocolint. Vous apprenez alors que pour sortir de cet enfer, il vous faudra réveiller le mystique Poisson Rêve.",Décembre 1993,18/20,17.1/20
Super Mario Kart,"Super Mario Kart sur console virtuelle Wii U est un jeu de course reprenant l'univers et les personnages de Mario. Après avoir choisi un pilote parmi les huit proposés, lancez-vous dans les quatre coupes différentes pour essayer d'atteindre la plus haute marche du podium. Grâce à des bonus ramassés sur le circuit, tous les coups sont permis, à commencer par le largage de peaux de bananes et l'envoi de carapaces. Le mode Battle permet d'ailleurs d'affronter les autres à coups de carapaces.",21 janvier 1993,18/20,17.9/20
Vigilante 8,"Vigilante 8 est un jeu d'action sur Gameboy. Eh oui, vous allez retrouver vos plus bas instincts ! Au volant d'un véhicule des années 70, vous incarnez un membre de gang dont l'unique but est de réduire en poussière les véhicules des gangs rivaux. Pour cela, tout est permis : les accrochages et l'utilisation de toutes sortes d'armes et de projectiles : mitrailleuse lourde, mines, roquettes, etc...",1998,18/20,17.3/20
Flower,Flower est un jeu assez original exclusif au PS Store. Il vous permet de diriger un pétale qui fait éclore les fleurs sur son passage. De nouveaux pétales viendront ainsi vous rejoindre pour constituer une farandole multicolore. Vous pourrez ainsi explorer six niveaux qui vous feront traverser des environnements bucoliques ou plongés dans le chaos.,12 février 2009,18/20,17.8/20
